PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare
215,0,2,"Williams, Иван",male,29.3,1,1,33.7
216,0,2,"Иванов, William",male,,1,0,26.15
217,0,2,"Иванов, Пётр",male,13.6,4,0,25.1
218,1,2,"Williams, Николай",male,20.7,0,0,42.49
219,1,1,"Smith, Ирина",female,32.0,2,0,119.38
220,0,3,"Brown, Сергей",male,26.6,3,0,17.12
221,0,3,"Brown, George",male,,0,0,19.6
222,1,1,"Miller, Helen",female,57.3,1,0,72.51
223,1,1,"Smith, Margaret",female,34.1,0,2,18.48
224,1,3,"Brown, Пётр",,23.0,0,0,17.57
225,1,2,"Williams, George",male,,2,0,23.82
226,0,3,"Smith, Дмитрий",male,36.9,0,0,9.93
227,0,1,"Brown, Иван",male,28.3,0,0,60.82
228,0,2,"Williams, Дмитрий",male,43.7,4,0,34.34
229,0,,"Williams, Сергей",male,19.5,0,0,11.95
230,0,3,"Петров, Пётр",male,,0,0,4.0
231,1,1,"Smith, Анна",female,52.0,0,0,95.68
232,0,2,"Miller, Margaret",female,23.2,1,2,40.11
233,0,3,"Smith, John",male,24.7,0,0,15.44
234,0,3,"Davis, Елена",female,30.4,2,0,11.87
235,0,3,"Иванов, Alice",female,,2,2,10.64
236,0,3,"Smith, James",male,16.9,0,0,17.35
237,0,3,"Johnson, James",male,44.6,0,0,10.63
238,0,3,"Иванов, Ольга",female,51.8,1,2,10.07
239,1,1,"Williams, Пётр",male,31.9,0,0,21.54
240,0,2,"Williams, Анна",female,28.1,0,0,39.68
241,0,1,"Соколов, Сергей",male,40.8,0,1,77.96
242,0,3,"Петров, Иван",male,,0,0,18.26
243,0,1,"Davis, George",male,29.5,0,0,133.3
244,1,2,"Miller, Алексей",male,,0,0,23.43
245,1,1,"Brown, Дмитрий",male,44.5,0,0,128.42
246,0,3,"Кузнецов, Николай",male,22.3,0,0,9.25
247,1,1,"Davis, Иван",male,45.9,0,1,125.46
248,0,3,"Иванов, William",male,4.9,1,0,13.08
249,0,3,"Петров, Ольга",female,,0,0,16.8
250,1,3,"Brown, John",male,2.7,0,0,4.0
251,1,1,"Кузнецов, Ирина",female,55.0,1,0,78.45
252,0,2,"Williams, George",male,35.1,1,0,21.36
253,0,3,"Иванов, William",male,34.7,1,2,8.09
254,0,1,"Miller, Дмитрий",male,29.2,0,0,56.7
255,0,3,"Johnson, Сергей",male,,2,0,10.24
256,0,3,"Johnson, Дмитрий",male,,0,2,9.88
257,0,3,"Соколов, Николай",male,,0,2,15.68
258,0,2,"Кузнецов, Николай",male,52.5,0,0,30.71
259,0,3,"Соколов, Alice",female,,1,0,12.08
260,1,1,"Davis, Сергей",male,34.1,3,0,81.75
261,0,3,"Davis, Пётр",male,27.8,1,0,17.97
262,0,3,"Иванов, Сергей",male,,1,1,5.74
263,1,1,"Smith, William",male,54.5,1,2,85.01
264,1,2,"Иванов, Наталья",female,15.9,0,0,37.83
265,0,3,"Miller, Дмитрий",male,,0,2,14.87
266,0,1,"Иванов, William",male,35.7,1,0,81.58
267,0,1,"Кузнецов, Сергей",male,,0,1,84.71
268,0,3,"Williams, Дмитрий",male,,1,0,12.66
269,0,3,"Соколов, Сергей",male,12.4,1,0,12.15
270,1,1,"Петров, Елена",female,35.8,1,2,70.66
271,1,2,"Соколов, Ирина",female,13.5,0,0,30.91
272,0,3,"Соколов, Ирина",female,,1,0,10.08
273,0,2,"Davis, Алексей",male,32.9,0,0,35.13
274,0,2,"Иванов, George",male,39.7,0,0,23.08
275,0,3,"Соколов, Алексей",male,38.8,0,0,4.71
276,1,3,"Johnson, Grace",female,37.6,2,0,15.08
277,0,3,"Smith, John",male,31.2,1,0,5.54
278,1,1,"Иванов, Пётр",male,,0,2,80.19
279,1,1,"Соколов, Николай",male,39.6,1,1,52.42
280,0,3,"Johnson, Alice",female,27.1,0,0,11.19
281,0,2,"Соколов, Иван",male,,3,0,19.47
282,1,1,"Johnson, Margaret",female,36.8,1,2,91.92
283,0,2,"Петров, Иван",male,15.5,0,0,15.57
284,0,2,"Кузнецов, Margaret",female,26.3,1,1,37.75
285,0,3,"Davis, James",male,22.0,1,0,15.25
286,1,1,"Johnson, Алексей",male,31.6,0,0,58.41
287,1,1,"Петров, Ольга",female,,0,3,95.22
288,1,1,"Smith, Helen",female,42.8,1,0,38.16
289,1,3,"Miller, Ирина",female,24.0,4,0,15.33
290,1,1,"Brown, James",male,16.3,0,0,102.25
291,0,1,"Johnson, Пётр",male,38.8,0,0,45.29
292,0,1,"Johnson, Николай",male,49.7,0,3,116.13
293,0,3,"Smith, John",male,,0,1,18.83
294,0,3,"Johnson, James",male,21.4,0,0,7.94
295,1,3,"Miller, Margaret",female,15.8,0,1,12.7
296,0,2,"Brown, George",male,14.3,2,0,20.1
297,0,3,"Brown, Сергей",male,15.3,2,1,11.14
298,1,1,"Иванов, Наталья",female,53.2,0,1,78.15
299,1,3,"Davis, Margaret",female,,0,0,4.0
300,1,2,"Johnson, John",male,20.8,1,0,24.94
301,0,3,"Smith, Иван",male,41.9,1,3,10.89
302,0,3,"Кузнецов, Иван",male,,0,2,10.22
303,1,3,"Smith, Наталья",female,,0,0,6.57
304,0,2,"Петров, William",male,11.7,1,2,11.8
305,0,3,"Brown, William",male,12.0,0,2,14.65
306,0,3,"Brown, Дмитрий",male,32.6,1,0,10.74
307,1,1,"Петров, Пётр",male,72.4,0,2,102.25
308,0,3,"Williams, Alice",female,42.1,0,0,10.49
309,0,2,"Соколов, Ольга",female,21.8,0,2,25.39
310,1,3,"Петров, John",male,35.8,1,2,9.34
311,0,3,"Williams, Мария",female,,3,1,6.44
312,1,1,"Петров, Дмитрий",male,52.6,4,0,67.1
313,0,2,"Brown, Пётр",male,18.6,0,0,18.66
314,1,3,"Davis, Елена",female,17.8,2,2,8.17
315,1,1,"Brown, James",male,26.2,0,0,34.23
316,0,3,"Brown, Иван",male,,0,0,15.24
317,1,2,"Иванов, Иван",male,38.1,2,0,40.97
318,0,2,"Williams, John",male,33.4,1,0,28.02
319,1,3,"Smith, Ольга",female,,0,0,13.25
320,0,3,"Johnson, Иван",male,26.5,0,1,11.53
321,1,2,"Соколов, Мария",female,42.9,3,0,9.76
322,1,3,"Brown, Николай",male,34.8,1,0,13.43
323,0,3,"Brown, John",male,18.8,0,0,15.75
324,0,3,"Williams, John",male,14.5,1,1,14.71
325,0,2,"Петров, Дмитрий",male,32.9,0,0,28.34
326,0,3,"Smith, George",male,,0,0,12.93
327,1,3,"Кузнецов, William",male,35.5,0,0,13.95
328,1,1,"Williams, Helen",female,40.4,0,0,89.63
329,1,2,"Петров, Анна",female,39.9,0,1,17.84
330,1,1,"Соколов, Елена",female,35.1,0,1,32.81
331,0,3,"Brown, Сергей",male,16.0,0,0,12.29
332,0,1,"Smith, Сергей",male,44.6,0,0,35.73
333,0,3,"Smith, William",male,12.6,2,0,4.97
334,0,3,"Соколов, Анна",female,23.5,0,0,9.87
335,0,3,"Johnson, Пётр",male,48.2,0,2,6.16
336,0,3,"Miller, Пётр",male,11.8,1,0,9.95
337,0,3,"Иванов, William",male,32.8,0,0,6.88
338,1,3,"Smith, Мария",female,29.5,1,2,13.85
339,1,1,"Соколов, William",,25.3,2,0,60.92
340,0,,"Johnson, Иван",male,2.6,0,0,22.38
341,0,3,"Miller, Margaret",female,,1,0,16.35
342,0,1,"Miller, Елена",female,9.9,2,0,69.0
343,0,3,"Петров, Николай",male,31.6,1,0,12.76
344,1,1,"Williams, Пётр",male,34.7,2,0,52.83
345,0,3,"Davis, Иван",male,,1,3,6.03
346,1,1,"Иванов, Ирина",female,34.2,2,2,129.33
347,0,3,"Smith, Иван",male,,0,0,11.87
348,1,3,"Иванов, Наталья",female,,1,1,14.74
349,0,3,"Miller, Анна",female,16.5,1,1,18.02
350,1,2,"Williams, Margaret",female,16.1,0,0,35.05
351,1,1,"Miller, Николай",male,40.8,0,0,96.03
352,1,3,"Петров, Alice",female,6.9,2,0,13.29
353,1,1,"Brown, John",male,38.5,0,1,55.07
354,0,1,"Кузнецов, Дмитрий",male,,3,0,77.15
355,0,2,"Соколов, Ирина",female,32.8,0,0,9.14
356,1,3,"Иванов, Анна",female,,1,3,4.81
357,0,3,"Иванов, Иван",male,29.1,0,0,18.57
358,1,1,"Williams, Дмитрий",male,35.2,0,0,93.72
359,0,3,"Brown, George",male,22.7,1,0,14.09
360,1,2,"Петров, Grace",female,52.3,0,0,30.28
361,0,1,"Smith, William",male,29.6,0,2,118.46
362,0,3,"Кузнецов, George",male,,0,0,14.2
363,0,1,"Miller, Иван",male,25.7,2,1,63.64
364,0,3,"Иванов, Алексей",male,,0,0,15.78
365,0,2,"Johnson, Дмитрий",male,,2,0,13.01
366,0,3,"Smith, John",male,38.0,3,2,12.27
367,1,1,"Davis, Елена",female,33.2,0,0,34.64
368,0,3,"Davis, John",male,,2,2,16.31
369,0,2,"Кузнецов, Николай",male,19.6,0,0,26.73
370,1,2,"Кузнецов, James",male,12.0,1,2,53.52
371,0,3,"Кузнецов, Алексей",male,12.9,0,0,9.17
372,0,2,"Miller, Наталья",female,19.2,3,0,27.15
373,0,3,"Johnson, Николай",male,28.6,0,0,20.75
374,0,1,"Johnson, George",male,39.2,0,1,80.5
375,0,3,"Miller, Мария",female,,0,0,10.46
376,1,3,"Smith, Helen",female,19.3,0,0,11.65
377,0,3,"Иванов, Николай",male,13.8,0,0,11.37
378,1,1,"Brown, Наталья",female,49.7,0,0,126.26
379,0,3,"Соколов, Grace",female,,0,0,10.7
380,0,3,"Соколов, Николай",male,16.0,1,0,19.11
381,0,3,"Miller, Дмитрий",male,39.7,0,1,13.84
382,1,1,"Davis, Мария",female,42.4,1,1,73.39
383,1,2,"Miller, John",male,13.5,1,0,30.86
384,0,1,"Иванов, Сергей",male,33.4,4,0,106.65
385,0,3,"Williams, Николай",male,41.7,0,1,9.07
386,0,3,"Петров, Иван",male,21.9,0,0,18.16
387,1,3,"Williams, Alice",female,,0,1,13.74
388,1,2,"Miller, Пётр",male,25.0,1,2,7.32
389,0,1,"Smith, Сергей",male,49.4,0,0,49.73
390,0,3,"Johnson, Иван",male,35.4,0,1,20.26
391,0,3,"Miller, John",male,28.9,0,0,11.8
392,1,3,"Иванов, Елена",female,33.8,1,2,11.94
393,1,2,"Соколов, John",male,,1,0,43.24
394,0,3,"Williams, Grace",female,,1,2,13.57
395,0,3,"Davis, James",male,,1,2,14.48
396,0,2,"Иванов, Алексей",male,18.9,0,2,31.85
397,0,2,"Johnson, John",male,,0,2,27.24
398,0,2,"Иванов, John",male,21.2,0,0,31.74
399,1,2,"Кузнецов, Пётр",male,23.4,1,0,35.39
400,0,1,"Smith, Иван",male,43.8,0,0,90.64
